"arr_time","home","leisure","other","shopping","work"
0,30,12,22,14,1
1,30,9,30,8,1
2,52,8,58,20,0
3,68,29,81,20,0
4,142,60,213,47,13
5,226,145,328,79,1022
6,442,185,830,179,2085
7,703,247,1203,557,2576
8,1176,891,1544,1273,2285
9,1642,1572,1683,1474,1965
10,1858,1449,1690,1502,1814
11,1952,1292,1678,1438,1406
12,2039,1138,1687,1385,1142
13,2303,1265,1590,1403,884
14,2717,1178,1316,1309,826
15,3003,1026,1330,1311,491
16,3367,1076,1227,1239,315
17,3359,1060,995,1198,200
18,3328,902,838,923,83
19,2895,692,634,462,16
20,1484,342,357,194,4
21,804,213,210,146,7
22,482,97,117,86,1
23,267,48,62,38,1
24,104,20,14,14,1
25,46,4,4,7,0
26,12,1,4,1,0
27,2,0,1,0,0
28,2,0,0,2,0
29,1,0,0,0,0
