"dep_time","home","leisure","other","shopping","work"
0,76,65,56,29,1
1,54,33,30,16,1
2,76,14,43,25,1
3,113,20,56,13,0
4,319,38,114,37,0
5,1549,107,216,68,2
6,3069,148,462,126,52
7,3735,209,874,208,229
8,4187,311,1265,794,607
9,3812,886,1454,1241,916
10,3087,1400,1621,1342,886
11,2562,1257,1596,1416,932
12,2244,1168,1640,1387,946
13,1998,1160,1618,1366,1336
14,1553,1226,1564,1332,1657
15,1420,1115,1437,1355,1940
16,1180,1078,1316,1219,2395
17,1043,1004,1193,1178,2401
18,931,1010,958,1062,2068
19,634,844,722,994,1527
20,394,686,612,350,151
21,314,404,421,154,8
22,176,220,247,102,3
23,94,120,123,55,2
