"dep_time","bicycle","car","pt","ride","walk"
0,41,89,12,32,53
1,29,40,3,25,37
2,37,34,3,22,63
3,46,36,8,22,90
4,86,118,64,32,208
5,343,519,526,192,362
6,731,851,1008,428,839
7,1090,1182,1265,400,1318
8,1358,1546,1371,489,2400
9,1607,1758,1315,450,3179
10,1642,1844,1297,447,3106
11,1479,1779,1213,461,2831
12,1404,1806,1224,458,2493
13,1418,1893,1352,461,2354
14,1424,1886,1371,548,2103
15,1429,1838,1579,566,1855
16,1390,1877,1588,620,1713
17,1330,1832,1578,572,1507
18,1197,1679,1355,559,1239
19,863,1461,1080,455,862
20,322,824,411,173,463
21,176,522,210,90,303
22,132,333,84,36,163
23,53,172,43,24,102
