"arr_time","home","leisure","other","shopping","work"
0,22,11,18,10,0
1,36,13,34,12,1
2,59,7,59,17,1
3,69,28,98,24,0
4,151,55,193,45,17
5,205,137,337,83,1024
6,440,189,827,174,2120
7,714,260,1222,537,2496
8,1171,900,1539,1277,2260
9,1648,1544,1673,1509,2014
10,1863,1443,1684,1474,1822
11,1935,1337,1652,1421,1408
12,2024,1119,1690,1371,1173
13,2248,1259,1589,1420,854
14,2745,1150,1322,1343,793
15,3041,1022,1331,1285,522
16,3322,1099,1185,1241,319
17,3429,1061,1059,1217,201
18,3356,913,833,912,86
19,2873,687,625,471,13
20,1465,342,358,199,5
21,801,216,214,135,8
22,481,91,121,81,1
23,261,52,60,48,1
24,114,21,15,13,0
25,46,4,4,7,0
26,12,1,3,1,0
27,2,0,1,0,0
28,2,0,0,2,0
29,1,0,0,0,0
