"dep_time","bicycle","car","pt","ride","walk"
0,49,82,12,29,45
1,32,50,1,26,45
2,41,26,3,21,74
3,48,50,5,22,95
4,86,115,61,38,191
5,347,509,533,197,349
6,771,861,1015,392,842
7,1035,1141,1242,431,1352
8,1329,1559,1387,457,2417
9,1588,1748,1357,467,3201
10,1593,1874,1305,450,3075
11,1496,1771,1190,457,2826
12,1392,1813,1223,461,2492
13,1443,1861,1322,454,2339
14,1417,1878,1351,545,2132
15,1440,1866,1572,571,1840
16,1410,1888,1602,578,1705
17,1316,1885,1591,619,1520
18,1169,1709,1393,582,1206
19,853,1425,1057,447,891
20,328,831,422,172,451
21,178,532,201,84,304
22,123,333,78,37,167
23,43,185,44,25,104
