"dep_time","bicycle","bicycle-pt-walk","car-pt-walk","car-walk","pt-walk","ride-walk","walk"
0,0,0,0,0,0,2,0
2,2,0,0,0,0,0,0
3,0,0,0,2,1,0,4
4,0,0,0,3,1,3,7
5,5,0,0,5,2,0,18
6,15,2,0,11,10,3,29
7,24,0,0,18,19,2,62
8,20,0,0,32,26,3,89
9,15,2,0,27,28,4,113
10,21,1,0,33,29,5,124
11,34,0,0,24,29,2,103
12,31,1,0,40,46,10,72
13,17,0,0,25,44,7,86
14,23,0,2,35,30,5,79
15,20,1,0,41,23,3,89
16,17,0,0,33,25,3,66
17,25,2,0,39,28,5,53
18,21,1,0,21,25,3,57
19,11,1,0,19,21,4,36
20,10,0,0,21,9,2,17
21,3,0,0,9,7,0,19
22,0,0,0,5,2,2,6
23,0,0,0,2,2,0,3
